Marca;Producto;Peso (Ml);;Costo;Precio;Sexo;Tipo;Tester;Estuche
Antonio Banderas;Blue Seduction Women Estuche + Locion;80 + 75;;150.936;528.276;Mujer;EDT;;Estuche
Antonio Banderas;Blue Seduction Women Tester;80;;92.206;322.721;Mujer;EDT;Tester;
Antonio Banderas;Her Golden Secret Estuche + Desodorante;80 + 150;;129.961;454.864;Mujer;EDT;;Estuche
Antonio Banderas;Her Golden Secret Mujer Desodorante;150;;40.188;140.658;Mujer;DESODORANTE;;
Antonio Banderas;Her Golden Secret Tester;80;;83.816;293.356;Mujer;EDT;Tester;
Antonio Banderas;Her Scret Estuche + (Caja Metálica);80 + 10;;134.156;469.546;Mujer;EDT;;Estuche
Antonio Banderas;Her Secret Desire;80;;104.791;366.769;Mujer;EDT;;
Antonio Banderas;Her Secret Desire Estuche + Desodorante;80 + 150;;117.376;410.816;Mujer;EDT;;Estuche
Antonio Banderas;Her Secret Temptation Dolce Estuche + Lip Balm;80 + 15;;108.986;381.451;Mujer;EDT;;Estuche
Antonio Banderas;Her Secret Temptation Estuche + Desdodorante;50 + 150;;88.011;308.039;Mujer;EDT;;Estuche
Antonio Banderas;Her Secret Temptation Estuche + Desodorante;80 + 150;;134.156;469.546;Mujer;EDT;;Estuche
Antonio Banderas;Her Secret Temptation Tester;80;;92.206;322.721;Mujer;EDT;Tester;
Antonio Banderas;Her Secret Tester;80;;83.816;293.356;Mujer;EDT;Tester;
Antonio Banderas;Queen Of Seduction (Box Metálico);80;;108.986;381.451;Mujer;EDT;;
Antonio Banderas;Queen Of Seduction Estuche + Desodorante;80 + 150;;134.156;469.546;Mujer;EDT;;Estuche
Antonio Banderas;Queen Of Seduction Estuches + Locion;80 + 75;;121.571;425.499;Mujer;EDT;;Estuche
Antonio Banderas;Queen Of Seduction Tester;80;;92.206;322.721;Mujer;EDT;Tester;
Antonio Banderas;Spirit Mujer;100;;108.986;381.451;Mujer;EDT;;
Antonio Banderas;Spirit Women;50;;67.036;234.626;Mujer;EDT;;
Aramis;Aramis 900;100;;176.106;616.371;Hombre;EDC;;
Aramis;Aramis Devin;100;;167.716;587.006;Hombre;EDC;;
Aramis;Aramis Havana;100;;150.936;528.276;Hombre;EDT;;
Ariana Grande;Ari Body Mist;236;;83.816;293.356;Mujer;MIST;;
Ariana Grande;Ari;100;;247.421;865.974;Mujer;EDP;;
Ariana Grande;Cloud Body;236;;83.816;293.356;Mujer;MIST;;
Ariana Grande;Cloud Tester;100;;243.226;851.291;Mujer;EDP;Tester;
Ariana Grande;Moonlight Body;236;;83.816;293.356;Mujer;MIST;;
Ariana Grande;Moonlight;100;;247.421;865.974;Mujer;EDP;;
Ariana Grande;Moonlight Tester;100;;226.446;792.561;Mujer;EDP;Tester;
Ariana Grande;Sweet Like Candy Body;236;;83.816;293.356;Mujer;MIST;;
Ariana Grande;Sweet Like Candy;100;;247.421;865.974;Mujer;EDP;;
Armaf;Armaf Club De Nuit Intense Hombre Estuche + Gel + Desodorante + Shampoo;250;;343.906;1.203.671;Hombre;EDT;;Estuche
Armaf;Armaf El Cielo Pour Homme;100;;209.666;733.831;Hombre;EDP;;
Armaf;Armaf Legesi Hombre;100;;209.666;733.831;Hombre;EDP;;
Armaf;Armaf Niche Oud;90;;285.176;998.116;Hombre;EDP;;
Armaf;Armaf Odyssey Homme White Edicion;100;;201.276;704.466;Hombre;EDP;;
Armaf;Blue Homme;100;;209.666;733.831;Hombre;EDT;;
Armaf;Club De Nuit Intense Man;200;;352.296;1.233.036;Hombre;EDP;;
Armaf;Club De Nuit Intense Man;105;;243.226;851.291;Hombre;EDT;;
Armaf;Club De Nuit Man;105;;243.226;851.291;Hombre;EDT;;
Armaf;Club De Nuit Urban Man;105;;184.496;645.736;Hombre;EDP;;
Armaf;Derby Blanche White;100;;201.276;704.466;Hombre;EDT;;
Armaf;Hunter For Men;100;;167.716;587.006;Hombre;EDT;;
Armaf;Hunter Intense For Men;100;;184.496;645.736;Hombre;EDP;;
Armaf;Tag Him;100;;167.716;587.006;Hombre;EDT;;
Armaf;Tag Him Prestige;100;;167.716;587.006;Hombre;EDT;;
