MARCA;PRODUCTO;;COSTO;PRECIO
JEAN PAUL GAULTIER;Le Male Hombre EDT 125ml *;;360,77;654,42
JEAN PAUL GAULTIER;Madame EDT 100ml *;;419,5;729,93
JESÚS DEL POZO;Halloween Mujer EDT 100ml *;;226,53;553,74
JOOP;Joop Hombre EDT 125ml;;276,87;646,03
JOOP;Joop Hombre EDT 125ml *;;243,31;646,03
KENZO;Flower In The Air Mujer EDP 100ml *;;419,5;906,12
KENZO;Flower Tag Mujer EDP 50ml *;;293,65;654,42
KENZO;Jungle Hombre EDT 100ml;;360,77;570,52
KENZO;Kenzo Amour Mujer EDP 100ml;;528,57;906,12
KENZO;Kenzo Amour Mujer EDP 100ml *;;461,45;906,12
KENZO;Kenzo Flower Mujer EDP 100ml;;520,18;922,9
KENZO;Kenzo Flower Mujer EDP 50ml *;;302,04;595,69
KENZO;Kenzo Hombre EDT 100ml;;377,55;587,3
