Código De Barras;Marca;Producto;Peso (Ml);Costo;Precio;Sexo;Tipo;;;
;Animale;Animale Animale Hombre;100;154.894;542.129;Hombre;Edp;;17.990;
;Animale;Animale Intense;100;86.014;301.049;Mujer;Edp;;9.990;
;Animale;Animale Love;100;98.929;346.251;Mujer;Edt;;11.490;
;Animale;Animale Men;100;185.029;647.601;Hombre;Edt;;21.490;
;Animale;Animale Men;200;245.299;858.546;Hombre;Edp;;28.490;
;Animale;Animale Mujer;200;292.654;1.024.289;Mujer;;;33.990;
;Animale;Animale;100;228.079;798.276;Mujer;Edt;;26.490;
;Animale;Animale;30;260.000;260.000;Femenino;Edp;;;
;Antonio Banderas;Blue Seduction;100;11.900;;Mujer;Edt;;;
;Antonio Banderas;Blue Seduction;200;14.900;;Mujer;Edt;;;
;Antonio Banderas;Diavolo;100;6.900;;Hombre;Edt;;;
;Antonio Banderas;King Of Seduction;100;10.900;;Hombre;Edt;;;
;Antonio Banderas;Mediterraneo;100;;9.900;Hombre;Edt;;;
;Antonio Banderas;Mediterraneo;200;;12.960;Hombre;Edt;;;
;Azzedine;"Baby Tous * Sin Caja""";100;28,00 €;47,00 €;;Edt;;;
;Azzedine;Alaía;100;;;Mujer;Edp;;;
;Azzedine;Baby Doll;100;;$ 24.500;Mujer;Edt;;;
;Azzedine;Baby Touch;100;;$ 16.500;Mujer;Edt;;;
;Azzedine;Baiser Voile;100;;$ 34.000;Mujer;Edt;;;
;Azzedine;Baby Touch;100;29,00 €;53,00 €;;Edt;;;
;Adidas;Champions League;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Dynamic Pulse;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Fruity Rhythm;50;240.000;240.000;Femenino;;;;
;Adidas;Get Ready;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Ice Dive;100;240.000;240.000;Masculino;;;;
;Adidas;Ice Dive;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Pure Game;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Team Five;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Team Force;100;36.937;129.279;Hombre;Edt;;4.290;
;Adidas;Victory League;100;36.937;129.279;Hombre;Edt;;4.290;
;Adolfo Dominguez;Agua Fresca Extreme Tester;120;Hombre;111.844;391.454;Edt;;12.990;
;Agatha Ruiz De La Prada;Beso Tester;100;116.149;406.521;Mujer;Edt;Tester;13.490;
;Agatha Ruiz De La Prada;Beso Women;100;4.900;;Mujer;Edt;;;
;Agatha Ruiz De La Prada;Beso;100;133.369;466.791;Mujer;Edt;;15.490;
;Agatha Ruiz De La Prada;Crazy Florever Tester;80;94.624;331.184;Mujer;Edt;Tester;10.990;
;Agatha Ruiz De La Prada;Crazy Florever;80;111.844;391.454;Mujer;Edt;;12.990;
;Agatha Ruiz De La Prada;Flor Tester;100;98.929;346.251;Mujer;Edt;Tester;11.490;
;Agatha Ruiz De La Prada;Flor;100;133.369;466.791;Mujer;Edt;;15.490;
;Agatha Ruiz De La Prada;Florever Tester;80;81.709;285.981;Mujer;Edt;Tester;9.490;
;Agatha Ruiz De La Prada;Florever;80;103.234;361.319;Mujer;Edt;;11.990;
;Agatha Ruiz De La Prada;Gotas De Color Edt 100 Mltester Sin Caja Y Sin Tapa;;7.900;;Mujer;;;;
;Agatha Ruiz De La Prada;Gotas De Color Tester;100;116.149;406.521;Mujer;Edt;Tester;13.490;
;Agatha Ruiz De La Prada;Gotas De Color;100;133.369;466.791;Mujer;Edt;;15.490;
;Agatha Ruiz De La Prada;Happy Smile Estuche + Locion;100 + 75;120.454;421.589;Mujer;Edt;Estuche;13.990;
;Agatha Ruiz De La Prada;Love Love Love Edt 80 Ml;;12900;;Mujer;;;;
;Agatha Ruiz De La Prada;Look De Agatha Ruiz;80;129.064;451.724;Mujer;Edt;;14.990;
;Agatha Ruiz De La Prada;Love Forever Love Estuche + Desodorante;80 + 150;98.929;346.251;Mujer;Edt;Estuche;11.490;
;Agatha Ruiz De La Prada;Love Glam Love Tester;80;81.709;285.981;Mujer;Edt;Tester;9.490;
;Agatha Ruiz De La Prada;Love Glam;80;9.900;;Mujer;Edt;;;
;Agatha Ruiz De La Prada;Love Love Love Estuche + Locion;50 + 50;90.319;316.116;Mujer;Edt;Estuche;10.490;
;Agatha Ruiz De La Prada;Love Love Love Estuche + Love Glam Love;50 + 10;81.709;285.981;Mujer;Edt;Estuche;9.490;
;Agatha Ruiz De La Prada;Love Love Love Estuche + Shower Gel;80 + 100;98.929;346.251;Mujer;Edt;Estuche;11.490;
;Agatha Ruiz De La Prada;Love Love Love Estuche Edt + Locion;80 + 75;111.844;391.454;Mujer;Edt;Estuche;12.990;
;Agatha Ruiz De La Prada;Love Love Love Tester;80;94.624;331.184;Mujer;Edt;Tester;10.990;
;Agatha Ruiz De La Prada;Love Love Love;80;4.900;;Mujer;Edt;;;
;Agatha Ruiz De La Prada;Rebel Love Estuche + Esmalte De Uñas + Lima De Uñas;80 + 6;129.064;451.724;Mujer;Edt;Estuche;14.990;
;Agatha Ruiz De La Prada;Rebel Love Estuche + Locion;80 + 75;111.844;391.454;Mujer;Edt;Estuche;12.990;
;Agatha Ruiz De La Prada;Rebel Love;50;68.794;240.779;Mujer;Edt;;7.990;
;Agatha Ruiz De La Prada;Rebel Love;80;103.234;361.319;Mujer;Edt;;11.990;
;Agatha Ruiz De La Prada;Sexy Florever Tester;80;94.624;331.184;Mujer;Edt;Tester;10.990;
