NOMBRE,LONG_KM_EN,RUTA_NRO,ANCHO,TIPO,LONG_MTS
GENERAL BERNARDINO CABALLERO,3,,8,1,2926
RUTA GENERAL AQUINO,8,,0,1,7617
RAMAL RUTA 1 – GUARAMBARÉ,7,,0,1,7379
AVENIDA SAN ANTONIO,8,,0,1,7640
AVENIDA VON POLESKI,5,,0,1,4611
AVENIDA TTE. 1RO AMÉRICO PICCO,6,,0,1,5754
AVENIDA CADETE BOQUERÓN,3,,0,1,3007
AVENIDA MANUEL ORTIZ GUERRERO,8,,0,1,7944
AVENIDA DE LA VICTORIA,7,,0,1,7193
AVENIDA AVELINO MARTÍNEZ,6,,0,1,5956
AVENIDA MARISCAL LÓPEZ,6,,0,1,6135
AVENIDA LAGUNA GRANDE,4,,0,1,4306
AVENIDA GRAL MANUEL BRÍTEZ BORGES,3,,0,1,3424
AVENIDA NANAWA,3,,0,1,2699
CALLE LIBERTAD,2,,0,1,2083
AVENIDA SANTA TERESA,1,,0,1,970
EPOPEYA NACIONAL,1,,0,1,803
AVENIDA DEFENSORES DEL CHACO,5,,0,1,5095
LUIS ALBERTO DEL PARANÁ,1,,12,1,1313
CORONEL RAFAEL FRANCO,3,,12,1,2797
LAS RESIDENTAS,2,,8,1,1710
10 DE JULIO,1,,12,1,1189
TENIENTE ETTIENE,2,,12,1,1822
INGAVI,2,,12,1,1905
CORONEL J. M. CAZAL,2,,8,1,1865
WALDINO RAMÓN LOVERA,1,,12,1,759
ZAVALAS CUE,4,,12,1,3530
SOLDADO OVELAR,3,,12,1,3461
USHER RIOS,4,,8,1,3537
AVDA.PITIANTUTA,3,,12,1,2684
ANDRÉS BARBERO,1,,8,1,1004
11 DE SETIEMBRE,2,,12,1,2004
JUAN LEOPARDI,3,,12,1,3012
PEDRO GETTO,1,,8,1,762
AVDA. 1° DE MARZO,1,,12,1,1488
ITAPÉ,1,,8,1,973
PIRIZAL,1,,8,1,836
SAN RAFAEL,0,,8,1,496
LAS PALMAS,1,,8,1,711
AVDA. CERRO LAMBARÉ,2,,12,1,1607
AVENIDA TAPE TUYA,1,,8,1,1398
AVENIDA CARRETERA DE LÓPEZ,3,,8,1,3286
MCAL. FRANCISCO S. LÓPEZ,1,,0,1,1089
AVENIDA CACIQUE LAMBARÉ,5,,12,1,4796
AVDA. JUAN BAUTISTA RIQUELME,3,,0,1,2869
PASEO DEL YACHT,2,,8,1,2289
JUANA DE LARA,1,,8,1,1277
AVENIDA SAN ISIDRO,3,,8,1,2749
HÉROES DEL 70,1,,0,1,1439
AVENIDA BONIFACIO OVANDO,2,,8,1,1667
AVENIDA BRUNO GUGGIARI,3,,12,1,3119
AVDA. PROF. DR. LUIS M. ARGAÑA,1,,12,1,1260
AVENIDA REPUBLICA ARGENTINA,2,,12,1,2471
AVDA. AUGUSTO ROA BASTOS,3,,12,1,2628
AVENIDA MÉDICOS DEL CHACO,2,,8,1,2056
VENCEDORES DEL CHACO,1,,8,1,1399
AVDA PASTORA CÉSPEDES,2,,12,1,1541
AVENIDA DEL AGRÓNOMO,1,,12,1,1211
AVDA ESPAÑA,1,,12,1,1150
HERNANDARIAS,0,,8,1,441
JUAN LEOPARDI,3,,12,1,3012
21 DE SETIEMBRE,1,,8,1,517
BRASIL,3,,8,1,2542
CONCORDIA,1,,8,1,1476
AVDA VITTORIO CURIEL,2,,12,1,2260
FERNANDO DE PINEDO,1,,8,1,944
SATURIO RÓOS,1,,8,1,1384
14 DE MAYO,1,,8,1,814
INGAVI,0,,12,1,253
AVENIDA BRUNO GUGGIARI,1,,8,1,1314
AVENIDA STELLA MARIS,1,,8,1,817
AVENIDA DE LA VICTORIA,3,,8,1,2541
AVENIDA CACIQUE LAMBARÉ,0,,8,1,432
AVENIDA PRÓCERES DE MAYO,1,,12,1,1261
AVENIDA BRASILIA,3,,4,1,2995
AVENIDA COSTANERA,3,,12,1,3139
AVENIDA COSTANERA,3,,12,1,3279
AVENIDA DR. EUSEBIO AYALA,7,,12,1,6617
AVENIDA R.I.18 PITIANTUTA,2,,8,1,1946
AVDA DR GUIDO BOGGIANI,3,,12,1,3439
AVENIDA MARISCAL FRANCISCO SOLANO LÓPEZ,9,,12,1,9150
AVENIDA SANTÍSIMO SACRAMENTO,4,,12,1,4420
AVENIDA CHOFERES DEL CHACO,2,,12,1,2138
AVENIDA MÉDICOS DEL CHACO,2,,12,1,1985
AVENIDA REPÚBLICA ARGENTINA,4,,12,1,4256
AVENIDA PRIMER PRESIDENTE,5,,12,1,4650
RUTA TRANSCHACO,4,,12,1,3995
AVENIDA DOCTOR SEMIDEI,2,,12,1,1589
AVENIDA SANTÍSIMA TRINIDAD,4,,12,1,3983
AVENIDA DOCTOR FELIPE MOLAS LÓPEZ,4,,12,1,3662
AVDA GRAL JOSÉ DE SAN MARTÍN,2,,12,1,2468
AVENIDA AVIADORES DEL CHACO,3,,12,1,3268
AVENIDA ESPAÑA,6,,12,1,5709
AVENIDA SANTA TERESA,3,,12,1,2605
AVENIDA JOSE GERVACIO ARTIGAS,6,,12,1,5757
AVENIDA JUSCELINO KUBITSCHEK,1,,12,1,1446
AVENIDA GENERAL BERNARDINO CABALLERO,1,,12,1,1294
PROFESOR LUIS MIGONE BATTILANA,1,,8,1,827
AVENIDA PRESIDENTE JUAN DOMINGO PERÓN,4,,12,1,3933
AVENIDA GENERAL MÁXIMO SANTOS,7,,12,1,6740
AVENIDA DOCTOR FERNANDO DE LA MORA,5,,12,1,4627
AVENIDA CRISTOBAL COLÓN,3,,12,1,3326
AVENIDA SILVIO PETTIROSSI,1,,12,1,1042
AVENIDA PERÚ,2,,8,1,2446
AVENIDA SALTOS DEL GUAIRÁ,1,,8,1,1143
AVENIDA ESTADOS UNIDOS,4,,8,1,4181
AVENIDA JAPÓN,1,,8,1,1236
AVENIDA CHIANG KAI SHEK,1,,12,1,843
AVDA F. ACUÑA DE FIGUEROA,1,,8,1,578
AVENIDA YGATIMÍ,1,,12,1,833
AVENIDA GASPAR RODRÍGUEZ DE FRANCIA,2,,12,1,2297
AVENIDA 1° DE MARZO,0,,12,1,413
AVENIDA CORONEL JOSÉ FÉLIX BOGADO,4,,12,1,3693
AVENIDA DOCTOR JOSÉ P. MONTERO,2,,12,1,1906
AVDA JOSÉ FALCÓN,1,,8,1,686
AVDA JOSÉ FALCÓN,1,,8,1,720
AVDA ITÁ YBATÉ,2,,8,1,1852
AVDA ITÁ YBATÉ,2,,8,1,1868
AVDA F. ACUÑA DE FIGUEROA,1,,8,1,578
AVENIDA CARLOS ANTONIO LÓPEZ,2,,12,1,2039
AVENIDA ÑUFLO DE CHÁVEZ,1,,8,1,999
AVDA JUAN LEÓN MALLORQUÍN,2,,8,1,2238
AVENIDA SEBASTÁN GABOTO,2,,8,1,1675
AVENIDA ACOSTA ÑU,2,,8,1,1553
AVENIDA MADAME LINCH,11,,12,1,10842
CORONEL ABRAHAM SCHWEITZER,0,,12,1,387
RAMAL COSTA FLEITAS - CAACUPEMI,7,,0,1,7108
RAMAL PINDOLO - VALLE KARÉ,8,,0,1,7829
RAMAL AVEIRO – ITAUGUÁ GUAZÚ,6,,0,1,5994
CALLE SAN PEDRO,5,,0,1,5437
ACCESO A ESTACIÓN TERRENA,2,,8,1,2482
ACCESO A ISLA VALLE,11,,8,1,11456
CALLE AMÉRICA,4,,0,1,3624
RAMAL,6,,0,1,5698
RUTA GUARAMBARÉ - YPANÉ,6,,0,1,6426
ACCESO A YPANÉ,4,,0,1,4156
RUTA PARAGUARÍ - PIRAYÚ,18,,8,1,18350
RAMAL SAN BERNARDINO - NUEVA COLOMBIA,4,,8,1,3805
EMILIO GABRIÉGUEZ,7,,0,1,6817
FOTÓGRAFOS DEL CHACO,3,,0,1,2943
SAN RAFAEL,1,,0,1,1404
DR. GABRIEL PELLÓN,3,,0,1,3367
CAMPO VÍA,5,,0,1,4653
AVENIDA ITÁ YVATÉ,1,,0,1,1345
PUERTO PINASCO,1,,0,1,999
TOMÁS OZUNA,1,,0,1,1006
SAN ROQUE GONZÁLEZ,2,,8,1,1611
ADAM RAMÍREZ,3,,8,1,3254
JOSÉ ASUNCIÓN FLORES,1,,8,1,1175
SAN ALFREDO,1,,8,1,1364
ARROYO CAPIATÁ,1,,8,1,1482
ARROYO CAPIATÁ,1,,8,1,1061
ROCÍO,1,,8,1,1048
,1,,8,1,1110
,3,,8,1,2683
,2,,8,1,2420
,0,,8,1,127
TAPE TUJÁ,4,,8,1,4202
,1,,8,1,1026
