"17","02","ALTO PARAGUAY","PUERTO CASADO","6","300","COM INDIG SAN ISIDRO KM 39","0720","01","SAN ISIDRO KM 39","ANGAITE","55","LENGUA MASKOY"
"17","02","ALTO PARAGUAY","PUERTO CASADO","6","320","COM INDIG MACHETE VAINA","0722","01","MACHETE VAINA","ANGAITE","55","LENGUA MASKOY"
"17","01","ALTO PARAGUAY","FUERTE OLIMPO","6","220","COM INDIG PUERTO MARIA ELENA (PITIANTUTA)","0715","01","PUERTO MARIA ELENA (PITIANTUTA)","TOMARAHO","73","ZAMUCO"
"17","01","ALTO PARAGUAY","FUERTE OLIMPO","6","240","COM INDIG VIRGEN SANTISIMA","0711","01","VIRGEN SANTISIMA","ISHIR YBYTOSO","72","ZAMUCO"
"13","03","AMAMBAY","CAPITÁN BADO","6","490","COM INDIG ITA POTY","0369","01","ITA POTY","PAI TAVYTERA","44","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","650","COM INDIG COMUNIDAD GUARANI PASO HISTORIA","0367","01","COMUNIDAD GUARANI PASO HISTORIA","AVA GUARANI","42","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","670","COM INDIG TAKUAJU POTY","0739","01","TAKUAJU POTY","AVA GUARANI","42","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","640","COM INDIG MBARAKAY","0373","01","MBARAKAY","PAI TAVYTERA","44","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","630","COM INDIG CRISTINO POTRERO","0871","01","CRISTINO POTRERO","PAI TAVYTERA","44","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","660","COM INDIG TAVYTERA","0376","01","TAVYTERA","PAI TAVYTERA","44","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","690","COM INDIG PIRAYMI","0374","01","PIRAYMI","PAI TAVYTERA","44","GUARANI"
"13","03","AMAMBAY","CAPITÁN BADO","6","710","COM INDIG ITAJU","0370","01","ITAJU","PAI TAVYTERA","44","GUARANI"
"13","04","AMAMBAY","ZANJA PYTÃ","6","140","COM INDIG Y MOROTI","0399","01","Y MOROTI","PAI TAVYTERA","44","GUARANI"
"13","04","AMAMBAY","ZANJA PYTÃ","6","220","COM INDIG NUEVA VIRGINIA CERRO 21","0389","01","NUEVA VIRGINIA CERRO 21","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","330","COM INDIG YVY OKA","0870","01","YVY OKA","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","320","COM INDIG ARROYO KA'A","0869","01","ARROYO KA'A","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","470","COM INDIG CERRO AKANGUE","0363","01","CERRO AKANGUE","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","340","COM INDIG APYKA JEGUA","0361","01","APYKA JEGUA","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","390","COM INDIG ITA JEGUAKA","0364","01","ITA JEGUAKA","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","410","COM INDIG YVYTY ROVI CERRO PO´I AMAMBAY","0366","01","YVYTY ROVI CERRO AMAMBAY","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","440","COM INDIG SATI","0406","01","SATI","PAI TAVYTERA","44","GUARANI"
"13","02","AMAMBAY","BELLA VISTA","6","450","COM INDIG GUYRA ÑE´ENGATU AMBA","0405","01","GUYRA ÑE´ENGATU AMBA","PAI TAVYTERA","44","GUARANI"
"13","01","AMAMBAY","PEDRO JUAN CABALLERO","6","620","COM INDIG VY'A  RENDA","0860","01","VY'A  RENDA","PAI TAVYTERA","44","GUARANI"
"13","01","AMAMBAY","PEDRO JUAN CABALLERO","6","230","COM INDIG JAKAIRA","0384","01","JAKAIRA","PAI TAVYTERA","44","GUARANI"
"13","01","AMAMBAY","PEDRO JUAN CABALLERO","6","270","COM INDIG JAGUATI","0383","01","JAGUATI","PAI TAVYTERA","44","GUARANI"
"13","01","AMAMBAY","PEDRO JUAN CABALLERO","6","190","COM INDIG JAKAIRA POTRERITO","0385","01","JAKAIRA POTRERITO","PAI TAVYTERA","44","GUARANI"
