"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","CLAVE_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","CLAVE_y","longitude","latitude"
"03","CORDILLERA","14","PIRIBEBUY","0314","POINT (-6350300.996017996 -2932839.6350172823)","03","CORDILLERA","14","PIRIBEBUY","0314","-6350300.996017996","-2932839.6350172823"
"03","CORDILLERA","15","PRIMERO DE MARZO","0315","POINT (-6337253.829049601 -2894585.555812154)","03","CORDILLERA","15","PRIMERO DE MARZO","0315","-6337253.829049601","-2894585.555812154"
"03","CORDILLERA","16","SAN BERNARDINO","0316","POINT (-6378519.9741616575 -2914433.8588161804)","03","CORDILLERA","16","SAN BERNARDINO","0316","-6378519.9741616575","-2914433.8588161804"
"03","CORDILLERA","17","SANTA ELENA","0317","POINT (-6322727.710542415 -2926831.354932849)","03","CORDILLERA","17","SANTA ELENA","0317","-6322727.710542415","-2926831.354932849"
"03","CORDILLERA","18","TOBATÍ","0318","POINT (-6354570.487751562 -2908058.8716157493)","03","CORDILLERA","18","TOBATÍ","0318","-6354570.487751562","-2908058.8716157493"
"03","CORDILLERA","19","VALENZUELA","0319","POINT (-6330929.546707147 -2948795.8217440327)","03","CORDILLERA","19","VALENZUELA","0319","-6330929.546707147","-2948795.8217440327"
"03","CORDILLERA","20","SAN JOSE OBRERO","0320","POINT (-6335839.583436674 -2897602.2025982207)","03","CORDILLERA","20","SAN JOSE OBRERO","0320","-6335839.583436674","-2897602.2025982207"
"04","GUAIRÁ","01","VILLARRICA","0401","POINT (-6283817.409343115 -2972164.9025272834)","04","GUAIRÁ","01","VILLARRICA","0401","-6283817.409343115","-2972164.9025272834"
"04","GUAIRÁ","02","BORJA","0402","POINT (-6289120.437830636 -2993054.6049668225)","04","GUAIRÁ","02","BORJA","0402","-6289120.437830636","-2993054.6049668225"
"04","GUAIRÁ","03","CAPITÁN MAURICIO JOSÉ TROCHE","0403","POINT (-6264785.965939869 -2951949.8858997296)","04","GUAIRÁ","03","CAPITÁN MAURICIO JOSÉ TROCHE","0403","-6264785.965939869","-2951949.8858997296"
"04","GUAIRÁ","04","CORONEL MARTÍNEZ","0404","POINT (-6303074.95252322 -2969977.171330985)","04","GUAIRÁ","04","CORONEL MARTÍNEZ","0404","-6303074.95252322","-2969977.171330985"
"04","GUAIRÁ","05","FÉLIX PÉREZ CARDOZO","0405","POINT (-6292019.114450169 -2967666.60515811)","04","GUAIRÁ","05","FÉLIX PÉREZ CARDOZO","0405","-6292019.114450169","-2967666.60515811"
"04","GUAIRÁ","06","GRAL. EUGENIO A. GARAY","0406","POINT (-6254757.905074276 -2994910.4445545212)","04","GUAIRÁ","06","GRAL. EUGENIO A. GARAY","0406","-6254757.905074276","-2994910.4445545212"
"04","GUAIRÁ","07","INDEPENDENCIA","0407","POINT (-6259136.217086646 -2964188.350611075)","04","GUAIRÁ","07","INDEPENDENCIA","0407","-6259136.217086646","-2964188.350611075"
"04","GUAIRÁ","08","ITAPÉ","0408","POINT (-6302602.978843107 -2980657.175885376)","04","GUAIRÁ","08","ITAPÉ","0408","-6302602.978843107","-2980657.175885376"
"04","GUAIRÁ","09","ITURBE","0409","POINT (-6287932.82176446 -3005758.834319795)","04","GUAIRÁ","09","ITURBE","0409","-6287932.82176446","-3005758.834319795"
"04","GUAIRÁ","10","JOSÉ FASSARDI","0410","POINT (-6247549.339481912 -2996519.735720114)","04","GUAIRÁ","10","JOSÉ FASSARDI","0410","-6247549.339481912","-2996519.735720114"
"04","GUAIRÁ","11","MBOCAYATY","0411","POINT (-6279099.247464695 -2963694.837555747)","04","GUAIRÁ","11","MBOCAYATY","0411","-6279099.247464695","-2963694.837555747"
"04","GUAIRÁ","12","NATALICIO TALAVERA","0412","POINT (-6268484.55187278 -2956237.882588191)","04","GUAIRÁ","12","NATALICIO TALAVERA","0412","-6268484.55187278","-2956237.882588191"
"04","GUAIRÁ","13","ÑUMÍ","0413","POINT (-6270573.72323589 -2992856.0122215496)","04","GUAIRÁ","13","ÑUMÍ","0413","-6270573.72323589","-2992856.0122215496"
"04","GUAIRÁ","14","SAN SALVADOR","0414","POINT (-6286428.393122999 -2991935.846018753)","04","GUAIRÁ","14","SAN SALVADOR","0414","-6286428.393122999","-2991935.846018753"
"04","GUAIRÁ","15","YATAITY","0415","POINT (-6285888.839506049 -2960514.3526738356)","04","GUAIRÁ","15","YATAITY","0415","-6285888.839506049","-2960514.3526738356"
"04","GUAIRÁ","16","DOCTOR BOTTRELL","0416","POINT (-6271722.362123227 -2951466.437779917)","04","GUAIRÁ","16","DOCTOR BOTTRELL","0416","-6271722.362123227","-2951466.437779917"
"04","GUAIRÁ","17","PASO YOBAI","0417","POINT (-6234472.662328783 -2964269.5677273506)","04","GUAIRÁ","17","PASO YOBAI","0417","-6234472.662328783","-2964269.5677273506"
