"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","NOMBRE_x","LONGITUD_x","LATITUD_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","NOMBRE_y","LONGITUD_y","LATITUD_y","longitude","latitude"
"01","CONCEPCION","07","YBY YAU","COMISARIA 7MA YBY YAU","-56.53949","-22.96196","POINT (-6293947.434766254 -2627418.783617931)","01","CONCEPCION","07","YBY YAU","COMISARIA 7MA YBY YAU","-56.53949","-22.96196","-6293947.434766254","-2627418.783617931"
"07","ITAPUA","25","ALTO VERA","SUB COMISARIA 4 PUENTES","-55.72045","-26.55827","POINT (-6202771.634285653 -3068390.660370005)","07","ITAPUA","25","ALTO VERA","SUB COMISARIA 4 PUENTES","-55.72045","-26.55827","-6202771.634285653","-3068390.660370005"
"01","CONCEPCION","01","CONCEPCION","PUESTO POLICIAL N° 6 LAGUNA PLATO","-57.45609","-23.20129","POINT (-6395982.677924828 -2656379.064335325)","01","CONCEPCION","01","CONCEPCION","PUESTO POLICIAL N° 6 LAGUNA PLATO","-57.45609","-23.20129","-6395982.677924828","-2656379.064335325"
"07","ITAPUA","15","JESUS","COMISARIA 26 JESUS","-55.74103","-27.05662","POINT (-6205062.906328722 -3130547.5395606826)","07","ITAPUA","15","JESUS","COMISARIA 26 JESUS","-55.74103","-27.05662","-6205062.906328722","-3130547.5395606826"
"03","CORDILLERA","04","ATYRA","COMISARIA 23 SAN VICENTE ATYRA","-57.19157","-25.34221","POINT (-6366535.913486736 -2917836.429611374)","03","CORDILLERA","04","ATYRA","COMISARIA 23 SAN VICENTE ATYRA","-57.19157","-25.34221","-6366535.913486736","-2917836.429611374"
"01","CONCEPCION","01","CONCEPCION","SUB COMISARIA19 PASO HORQUETA","-57.38113","-23.07824","POINT (-6387638.706075613 -2641482.9378916305)","01","CONCEPCION","01","CONCEPCION","SUB COMISARIA19 PASO HORQUETA","-57.38113","-23.07824","-6387638.706075613","-2641482.9378916305"
"07","ITAPUA","25","ALTO VERA","COMISARIA 98 TARUMA","-55.83413","-26.72068","POINT (-6215426.920485304 -3088617.3309698505)","07","ITAPUA","25","ALTO VERA","COMISARIA 98 TARUMA","-55.83413","-26.72068","-6215426.920485304","-3088617.3309698505"
"06","CAAZAPA","11","3 DE MAYO","DESTACAMENTO POLICIAL N° 2 DOLORES","-55.96026","-26.43251","POINT (-6229467.950366353 -3052748.7675559763)","06","CAAZAPA","11","3 DE MAYO","DESTACAMENTO POLICIAL N° 2 DOLORES","-55.96026","-26.43251","-6229467.950366353","-3052748.7675559763"
"10","ALTO PARANA","22","DR. RAUL PE","COMISARIA 42 COL. RAUL PEÑA","-55.26726","-26.15823","POINT (-6152323.619123326 -3018692.2591309524)","10","ALTO PARANA","22","DR. RAUL PE","COMISARIA 42 COL. RAUL PEÑA","-55.26726","-26.15823","-6152323.619123326","-3018692.2591309524"
"02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","COMISARIA 29 COL. HUGUA REY","-56.73722","-24.41263","POINT (-6315958.404065042 -2803770.1838720096)","02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","COMISARIA 29 COL. HUGUA REY","-56.73722","-24.41263","-6315958.404065042","-2803770.1838720096"
"14","CANINDEYU","01","SALTO DEL GUAIRA","CASETA POLICIAL","-54.38419","-24.09354","POINT (-6054020.1011863 -2764809.907381149)","14","CANINDEYU","01","SALTO DEL GUAIRA","CASETA POLICIAL","-54.38419","-24.09354","-6054020.1011863","-2764809.907381149"
"07","ITAPUA","14","HOHENAU","COMISARIA 12 HOHENAU","-55.64979","-27.0831","POINT (-6194905.878450369 -3133857.709215004)","07","ITAPUA","14","HOHENAU","COMISARIA 12 HOHENAU","-55.64979","-27.0831","-6194905.878450369","-3133857.709215004"
"02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","SUB COMISARIA Nº 29 COL. JURUHEI","-56.60351","-24.35656","POINT (-6301074.0976519985 -2796917.015773943)","02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","SUB COMISARIA Nº 29 COL. JURUHEI","-56.60351","-24.35656","-6301074.0976519985","-2796917.015773943"
